date,chromium_price,molybdenum_price,titanium_price,chromium_contribution,molybdenum_contribution,titanium_contribution,total_surcharge
2024-04-01,12000,46000,6500,2220.00,966.00,26.00,3212.00
2024-05-01,12120,47500,6550,2242.20,997.50,26.20,3265.90
2024-06-01,12161,48000,6600,2249.78,1008.00,26.40,3284.18
2024-07-01,12200,49000,6650,2257.00,1029.00,26.60,3312.60
2024-08-01,12300,50000,6660,2275.50,1050.00,26.64,3352.14
2024-09-01,12450,50800,6700,2303.25,1066.80,26.80,3396.85
2024-10-01,12500,51468,6750,2312.50,1080.83,27.00,3420.33
2024-11-01,12550,51200,6800,2321.75,1075.20,27.20,3424.15
2024-12-01,12600,28910,6850,2331.00,607.11,27.40,2965.51
2025-01-01,12650,30000,6900,2340.25,630.00,27.60,2997.85
2025-02-01,12700,32000,6950,2349.50,672.00,27.80,3049.30
2025-03-01,12750,35000,7000,2358.75,735.00,28.00,3121.75
